""
2,Ep,Airdate,Chaser,Contribution,Final Chase Result
3,30,11/02/2011,Anne Hegerty,"£2,000 + £9,000 + () + ()",25/25 (0:08)
3,31,14/02/2011,Shaun Wallace,"() + £3,000 + () + £5,000",19/19 (0:02)
3,32,15/02/2011,Anne Hegerty,"£8,000 + £32,000 + () + ()","25/21 ( 2 x £40,000 )"
3,33,16/02/2011,Mark Labbett,"() + () + () + £7,000",17/17 (0:18)
3,34,17/02/2011,Anne Hegerty,"() + £8,000 + £4,000 + £4,000",19/19 (0:40)
3,35,18/02/2011,Shaun Wallace,"() + £7,000 + £5,000 + ()",15/15 (1:00)
3,36,21/02/2011,Mark Labbett,"£4,000 + () + () + £5,000",17/17 (0:39)
3,37,22/02/2011,Anne Hegerty,"() + £27,000 + £7,000 + ()",18/18 (0:29)
3,38,23/02/2011,Shaun Wallace,"£4,000 + £6,000 + () + ()","19/18 ( 2 x £5,000 )"
3,39,24/02/2011,Mark Labbett,"£8,000 + £10,000 + £200 + ()",18/18 (0:41)
3,40,25/02/2011,Shaun Wallace,"() + () + £5,000 + £9,000",21/21 (0:21)
5,Ep,Air Date,Chaser,Contribution,Final Chase Result
5,1,"Jan. 31, 2012",Mark Labbett,"£9,000 + () + £6,000 + £5,000",20/20 (0:25)
5,2,"Feb. 1, 2012",Shaun Wallace,"() + £6,000 + £10,000 + £6,000",20/20 (0:02)
5,3,"Feb. 2, 2012",Paul Sinha,"£40,000 + () + () + ()",19/19 (0:16)
5,4,"Feb. 3, 2012",Mark Labbett,"£5,000 + £5,000 + £30,000 + £7,000","22/21 ( 4 x £11,750 )"
5,5,"Feb. 6, 2012",Anne Hegerty,"() + () + £7,000 + £3,000",16/16 (0:26)
5,6,"Feb. 7, 2012",Shaun Wallace,"() + () + £4,000 + £1,000",13/13 (0:53)
5,7,"Feb. 8, 2012",Mark Labbett,"£4,000 + £6,000 + £45,000 + -£5,000",20/20 (0:18)
5,8,"Feb. 9, 2012",Paul Sinha,"() + £3,000 + £8,000 + £6,000","18/17 ( 3 x £5,666 )"
5,9,"Feb. 10, 2012",Anne Hegerty,"£27,000 + () + -£1,000 + £5,000",16/16 (0:01)
5,10,"Feb. 20, 2012",Shaun Wallace,"() + £5,000 + () + ()",16/16 (0:25)
5,11,"Feb. 21, 2012",Anne Hegerty,"() + £6,000 + () + £44,000","21/19 ( 2 x £25,000 )"
5,12,"Feb. 22, 2012",Mark Labbett,"£9,000 + £5,000 + £8,000 + £5,000",20/20 (0:08)
5,13,"Feb. 23, 2012",Paul Sinha,"£9,000 + £4,000 + £6,000 + ()",22/22 (0:30)
5,14,"Feb. 24, 2012",Anne Hegerty,"(nominated) + () + () + ()
Lazarus Chase",15/15 (0:16)
5,15,"Feb. 27, 2012",Paul Sinha,"£8,000 + £7,000 + () + ()",17/17 (0:28)
5,16,"Feb. 28, 2012",Mark Labbett,"£7,000 + () + £4,000 + -£2,000","23/20 ( 3 x £3,000 )"
5,17,"Feb. 29, 2012",Anne Hegerty,"£4,000 + £9,000 + () + £8,000",21/21 (0:05)
5,18,"Mar. 1, 2012",Shaun Wallace,"£4,000 + £7,000 + () + ()",19/19 (0:11)
5,19,"Mar. 2, 2012",Mark Labbett,"£9,000 + () + () + £1,000",19/19 (0:13)
5,20,"Mar. 5, 2012",Anne Hegerty,"() + £6,000 + () + ()",21/21 (0:36)
5,21,"Mar. 6, 2012",Paul Sinha,"£7,000 + £6,000 + £32,000 + £5,000","21/20 ( 4 x £12,500 )"
5,22,"Mar. 7, 2012",Mark Labbett,"£3,000 + £6,000 + () + £7,000",22/22 (0:16)
5,23,"Mar. 8, 2012",Shaun Wallace,"£8,000 + () + () + £1,000",15/15 (0:33)
5,24,"Mar. 9, 2012",Anne Hegerty,"£9,000 + £10,000 + () + £6,000","20/18 ( 3 x £8,333 )"
5,25,"Mar. 12, 2012",Paul Sinha,"() + () + £7,000 + £4,000",19/19 (0:14)
5,26,"Mar. 13, 2012",Shaun Wallace,"£25,000 + () + £26,000 + -£9,000",23/23 (0:11)
5,27,"Mar. 14, 2012",Mark Labbett,"(nominated) + () + () + ()
Lazarus Chase",18/18 (0:08)
5,28,"Mar. 15, 2012",Paul Sinha,"£7,000 + £10,000 + () + -£2,000",19/19 (0:18)
5,29,"Mar. 16, 2012",Anne Hegerty,"£9,000 + () + () + £6,000",20/20 (0:04)
5,30,"Mar. 19, 2012",Shaun Wallace,"£5,000 + () + £1,000 + £1,000","21/16 ( 3 x £2,333 )"
5,31,"Mar. 20, 2012",Paul Sinha,"£7,000 + £8,000 + £7,000 + £6,000","28/27 ( 4 x £7,000 )"
5,32,"Mar. 21, 2012",Mark Labbett,"£10,000 + £6,000 + () + £1",24/24 (0:05)
5,33,"Mar. 22, 2012",Anne Hegerty,"() + £9,000 + () + ()",15/15 (0:13)
5,34,"Mar. 23, 2012",Paul Sinha,"() + £4,000 + £5,000 + £6,000",19/19 (0:25)
5,35,"Mar. 26, 2012",Anne Hegerty,"£2,000 + () + £2,000 + £4,000",21/21 (0:12)
5,36,"Mar. 27, 2012",Paul Sinha,"£7,000 + () + £7,000 + £6,000",21/21 (0:06)
5,37,"Mar. 28, 2012",Mark Labbett,"£6,000 + () + £5,000 + ()","17/14 ( 2 x £5,500 )"
5,38,"Mar. 29, 2012",Anne Hegerty,"() + () + £6,000 + £4,000",17/17 (0:37)
5,39,"Mar. 30, 2012",Shaun Wallace,"() + () + () + £4,000",17/17 (0:17)
5,40,"Apr. 9, 2012",Shaun Wallace,"() + £8,000 + () + £1,000",18/18 (0:26)
5,41,"Apr. 10, 2012",Mark Labbett,"£7,000 + () + £7,000 + £3,000",19/19 (0:34)
5,42,"Apr. 11, 2012",Paul Sinha,"£4,000 + () + () + ()",14/14 (0:58)
5,43,"Apr. 12, 2012",Anne Hegerty,"£25,000 + -£2,000 + () + £2,000","19/14 ( 3 x £8,333 )"
5,44,"Apr. 13, 2012",Shaun Wallace,"() + £30,000 + () + ()",12/12 (1:07)
5,45,"Apr. 16, 2012",Paul Sinha,"() + £6,000 + () + £6,000","15/14 ( 2 x £6,000 )"
5,46,"Apr. 17, 2012",Anne Hegerty,"£6,000 + £4,000 + () + £6,000",20/20 (0:06)
5,47,"Apr. 18, 2012",Mark Labbett,"£6,000 + £5,000 + () + ()",16/16 (0:36)
5,48,"Apr. 19, 2012",Paul Sinha,"£21,000 + £5,000 + £5,000 + -£3,000",21/21 (0:07)
5,49,"Apr. 20, 2012",Shaun Wallace,"() + £30,000 + £5,000 + £4,000","26/24 ( 3 x £13,000 )"
5,50,"Apr. 23, 2012",Mark Labbett,"() + £6,000 + £9,000 + £6,000",20/20 (0:06)
5,51,"Apr. 24, 2012",Paul Sinha,"£4,000 + £7,000 + () + £5,000",19/19 (0:10)
5,52,"Apr. 25, 2012",Mark Labbett,"() + () + () + £7,000",12/12 (1:13)
5,53,"Apr. 26, 2012",Shaun Wallace,"£7,000 + £4,000 + () + ()","23/21 ( 2 x £5,500 )"
5,54,"Apr. 27, 2012",Anne Hegerty,"£6,000 + £4,000 + £4,000 + £6,000",20/20 (0:11)
5,55,"Apr. 30, 2012",Mark Labbett,"£7,000 + £6,000 + £1,000 + £5,000",20/20 (0:11)
5,56,"May. 1, 2012",Shaun Wallace,"() + £7,000 + £5,000 + ()","15/13 ( 2 x £6,000 )"
5,57,"May. 2, 2012",Paul Sinha,"£7,000 + () + () + ()",18/18 (0:48)
5,58,"May. 3, 2012",Shaun Wallace,"£5,000 + £35,000 + -£2,000 + ()",18/18 (0:03)
5,59,"May. 4, 2012",Anne Hegerty,"£5,000 + () + £30,000 + £5,000",19/19 (0:22)
5,60,"May. 7, 2012",Anne Hegerty,"£5,000 + () + () + £35,000",19/19 (0:36)
5,61,"May. 8, 2012",Shaun Wallace,"£4,000 + () + £8,000 + £999",15/15 (0:46)
5,62,"May. 9, 2012",Mark Labbett,"£6,000 + £4,000 + () + £4,000","20/17 ( 3 x £4,666 )"
5,63,"May. 10, 2012",Paul Sinha,"£15,000 + £25,000 + () + £7,000",24/24 (0:25)
5,64,"May. 11, 2012",Anne Hegerty,"£6,000 + () + £2,000 + £7,000",21/21 (0:21)
5,65,"May. 14, 2012",Shaun Wallace,"£7,000 + £7,000",
6,Ep,Airdate,Chaser,Contestants Surviving/Money Banked,Outcome
6,1,"Oct. 29, 2012",Mark Labbett,"£7,000 + £7,000 + () + ()","22/18( 2 x £7,000 )"
6,2,"Oct. 30, 2012",Paul Sinha,"() + £30,000 + £5,000 + £2,000",17/17 (0:02)
6,3,"Oct. 31, 2012",Anne Hegerty,"£5,000 + £7,000 + £7,000 + ()",18/18 (0:24)
6,4,"Nov. 1, 2012",Shaun Wallace,"£5,000 + () + £35,000 + ()","17/11 ( 2 x £20,000 )"
6,5,"Nov. 2, 2012",Mark Labbett,"£5,000 + () + () + ()",15/15 (0:57)
6,6,"Nov. 5, 2012",Anne Hegerty,"£7,000 + £500 + () + £37,500",17/17 (0:28)
6,7,"Nov. 6, 2012",Shaun Wallace,"() + () + £7,000 + £5,000",18/18 (0:12)
6,8,"Nov. 7, 2012",Mark Labbett,"() + £2,000 + () + ()",10/10 (1:16)
6,9,"Nov. 9, 2012",Shaun Wallace,"() + £1,000 + £1,000 + £7,000",18/18 (0:13)
6,10,"Nov. 8, 2012",Paul Sinha,"() + () + £1,000 + £1,000",15/15 (0:40)
6,11,"Nov. 12, 2012",Mark Labbett,"£30,000 + () + £4,000 + ()",14/14 (1:01)
6,12,"Nov. 13, 2012",Anne Hegerty,"£6,000 + £9,000 + () + ()",16/16 (0:18)
6,13,"Nov. 14, 2012",Shaun Wallace,"() + £8,000 + £7,000 + ()",19/19 (0:07)
6,14,"Nov. 15, 2012",Mark Labbett,"£7,000 + £7,000 + () + £7,000","21/18( 3 x £7,000 )"
6,15,"Nov. 16, 2012",Paul Sinha,"£20,000 + () + () + ()",14/14 (0:19)
6,16,"Nov. 19, 2012",Anne Hegerty,"£6,000 + () + £5,000 + £34,000",18/18 (0:36)
6,17,"Nov. 20, 2012",Mark Labbett,"£7,000 + £5,000 + () + £1","19/17( 3 x £4,000 )"
6,18,"Nov. 21, 2012",Paul Sinha,"£6,000 + () + £1,000 + ()",16/16 (0:19)
6,19,"Nov. 22, 2012",Shaun Wallace,"() + £7,000 + () + £3,000","20/15( 2 x £5,000 )"
6,20,"Nov. 23, 2012",Mark Labbett,"() + (nominated) + () + ()
Lazarus Chase",9/9 (1:14)
6,21,"Nov. 26, 2012",Paul Sinha,"£4,000 + £25,000 + () + £3,000",17/17 (0:23)
6,22,"Nov. 27, 2012",Anne Hegerty,"() + £5,000 + () + £7,000",18/18 (0:45)
6,23,"Nov. 28, 2012",Shaun Wallace,"£7,000 + £6,000 + () + ()",15/15 (0:45)
6,24,"Nov. 29, 2012",Anne Hegerty,"£5,000 + £4,000 + £5,000 + ()","19/16( 3 x £4,666 )"
6,25,"Nov. 30, 2012",Mark Labbett,"() + () + £6,000 + ()",7/7 (1:33)
6,26,"Dec. 3, 2012",Shaun Wallace,"() + () + () + £35,000",18/18 (0:12)
6,27,"Dec. 4, 2012",Anne Hegerty,"£5,000 + () + () + ()",12/12 (1:05)
6,28,"Dec. 5, 2012",Paul Sinha,"£6,000 + £8,000 + £2,000 + £7,000","20/19 ( 4 x £5,750 )"
6,29,"Dec. 6, 2012",Mark Labbett,"() + £6,000 + () + £200",22/22 (0:01)
6,30,"Dec. 7, 2012",Anne Hegerty,"£5,000 + () + £1,000 + ()",16/16 (0:22)
6,31,"Dec. 10, 2012",Shaun Wallace,"£40,000 + £4,000 + £3,000 + ()",18/18 (0:26)
6,32,"Dec. 11, 2012",Mark Labbett,"£4,000 + £6,000 + £7,000 + £5,000","23/15( 4 x £5,500 )"
6,33,"Dec. 12, 2012",Paul Sinha,"() + £25,000 + £4,000 + -£2,000",14/14 (0:55)
6,34,"Dec. 13, 2012",Anne Hegerty,"() + £4,000 + () + £10,000",20/20 (0:23)
6,35,"Dec. 14, 2012",Shaun Wallace,"() + £5,000 + () + ()","14/11( 1 x £5,000 )"
6,36,"Dec. 17, 2012",Paul Sinha,"£3,000 + () + £5,000 + ()",16/16 (0:19)
6,37,"Dec. 18, 2012",Anne Hegerty,"£3,000 + £5,000 + £3,000 + ()","20/19 ( 3 x £3,666 )"
6,38,"Dec. 19, 2012",Shaun Wallace,"£4,000 + () + £6,000 + -£1,000",15/15 (0:46)
6,39,"Dec. 20, 2012",Mark Labbett,"£6,000 + () + £6,000 + -£3,000",17/17 (0:17)
6,40,"Dec. 21, 2012","Mark Labbett
(FC)","£8,000 + () + £3,000 + ()","13/11 ( £22,000 )"
6,41,TBD,Paul Sinha,(...) + (...) + (...) + (...),...
6,42,"Jan. 3, 2013",Anne Hegerty,"(nominated) + () + () + ()
Lazarus Chase",14/14 (0:22)
6,43,"Jan. 4, 2013",Mark Labbett,"£6,000 + £4,000 + £5,000 + ()","20/16( 3 x £5,000 )"
6,44,"Jan. 7, 2013",Shaun Wallace,"() + £5,000 + £7,000 + ()",19/19 (0:11)
6,45,"Jan. 8, 2013",Mark Labbett,"() + () + () + £60,000","15/14( 1 x £60,000 )"
6,46,"Jan. 9, 2013",Anne Hegerty,"£7,000 + £3,000 + £10,000 + ()",22/22 (0:14)
6,47,"Jan. 10, 2013",Shaun Wallace,"() + £8,000 + () + £1,000",13/13 (0:16)
6,48,"Jan. 11, 2013",Paul Sinha,"£8,000 + £6,000 + () + ()",15/15 (0:04)
6,49,"Jan. 14, 2013",Paul Sinha,"£5,000 + () + () + £3,000",14/14 (0:50)
6,50,"Jan. 15, 2013",Anne Hegerty,"() + () + £35,000 + ()",11/11 (1:14)
6,51,"Jan. 16, 2013",Shaun Wallace,"£7,000 + () + £5,000 + £10,000","22/15( 3 x £7,333 )"
6,52,"Jan. 17, 2013",Paul Sinha,"£4,000 + £8,000 + () + £5,000",16/16 (0:39)
6,53,"Jan. 18, 2013",Mark Labbett,"() + () + £4,000 + £6,000",15/15 (0:55)
6,54,"Jan. 21, 2013",Anne Hegerty,"£5,000 + £6,000 + () + £3,000",15/15 (0:43)
6,55,"Jan. 22, 2013",Shaun Wallace,"£1,000 + () + () + £1,000",19/19 (0:15)
6,56,"Jan. 23, 2013",Mark Labbett,"() + £30,000 + () + £7,000",14/14 (0:26)
6,57,"Jan. 24, 2013",Anne Hegerty,"£7,000 + £40,000 + -£5,000 + ()","18/17 ( 3 x £14,000 )"
6,58,"Jan. 25, 2013",Paul Sinha,"() + () + £3,000 + ()",11/11 (0:59)
6,59,"Jan. 28, 2013",Mark Labbett,"() + £4,000 + £6,000 + £4,000",21/21 (0:11)
6,60,"Jan. 29, 2013",Shaun Wallace,"£25,000 + £2,000 + () + -£2,000","17/13( 3 x £8,333 )"
6,61,"Jan. 30, 2013",Paul Sinha,"() + () + £2,000 + ()",12/12 (0:41)
6,62,"Jan. 31, 2013",Anne Hegerty,"() + () + £4,000 + £50,000",17/17 (0:31)
6,63,"Feb. 1, 2013",Shaun Wallace,"() + £5,000 + £200 + ()",15/15 (0:28)
6,64,"Feb. 4, 2013",Paul Sinha,"£2,000 + £5,000 + () + ()",15/15 (0:20)
6,65,"Feb. 5, 2013",Mark Labbett,"£4,000 + £6,000 + () + ()",12/12 (0:21)
6,66,"Feb. 6, 2013",Shaun Wallace,"() + £7,000 + () + £6,000",15/15 (0:19)
6,67,"Feb. 7, 2013",Paul Sinha,"() + (nominated) + () + ()
Lazarus Chase","16/15( 4 x £1,000 )"
6,68,"Feb. 8, 2013",Anne Hegerty,"£20,000 + () + () + ()",16/16 (0:31)
6,69,"Feb. 18, 2013",Mark Labbett,"£1,000 + () + () + ()",17/17 (0:05)
6,70,"Feb. 19, 2013",Shaun Wallace,"£3,000 + () + £1,000 + ()",13/13 (0:40)
6,71,"Feb. 20, 2013",Anne Hegerty,"() + £5,000 + () + £55,000","18/17( 2 x £30,000 )"
6,72,"Feb. 21, 2013",Paul Sinha,"() + £7,000 + () + £3,000",13/13 (0:49)
6,73,"Feb. 22, 2013",Anne Hegerty,"() + (nominated) + () + ()
Lazarus Chase",14/14 (0:28)
6,74,"Feb. 25, 2013",Shaun Wallace,"£4,000 + £5,000 + () + £5,000","24/20( 3 x £4,666 )"
6,75,"Feb. 26, 2013",Mark Labbett,"() + () + () + £6,000",11/11 (1:03)
6,76,"Feb. 27, 2013",Paul Sinha,"() + £5,000 + £400 + ()",16/16 (0:20)
6,77,"Feb. 28, 2013",Mark Labbett,"() + £6,000 + () + £6,000","17/16( 2 x £5,500 )"
6,78,"May. 10, 2013",Anne Hegerty,"() + (nominated) + () + ()
Lazarus Chase",17/17 (0:34)
6,79,"Mar. 4, 2013",Anne Hegerty,"£4,000 + £9,000 + () + £4,000",16/16 (0:28)
6,80,"Mar. 5, 2013",Shaun Wallace,"£5,000 + () + () + ()","16/11 ( 1 x £5,000 )"
6,81,"Mar. 6, 2013",Mark Labbett,"£3,000 + () + () + £2,000",11/11 (0:42)
6,82,"Mar. 7, 2013",Paul Sinha,"() + £5,000 + () + ()",11/11 (1:03)
6,83,"Mar. 8, 2013",Shaun Wallace,"() + £8,000 + £5,000 + £4,000",12/12 (0:10)
6,84,"Mar. 11, 2013",Shaun Wallace,"() + £24,000 + () + ()",11/11 (0:34)
6,85,"Mar. 12, 2013",Anne Hegerty,"£3,000 + £4,000 + () + ()",13/13 (0:40)
6,86,"Mar. 13, 2013",Paul Sinha,"() + () + £2,000 + £6,000","21/17 ( 2 x £4,000 )"
6,87,"Mar. 14, 2013",Mark Labbett,"£3,000 + £2,000 + £40,000 + -£3,000","21/14( 4 x £10,500 )"
6,88,"Mar. 15, 2013",Paul Sinha,"£30,000 + () + £1 + ()",20/20 (0:06)
6,89,"Mar. 18, 2013",Anne Hegerty,"£4,000 + () + () + £5,000","18/16( 2 x £4,500 )"
6,90,"Mar. 19, 2013",Mark Labbett,"() + £500 + () + £40,000",15/15 (0:52)
6,91,"Mar. 20, 2013",Paul Sinha,"£3,000 + £6,000 + £1,000 + ()",17/17 (0:37)
6,92,"Mar. 21, 2013",Shaun Wallace,"£4,000 + () + £5,000 + £4,000","20/18 ( 3 x £4,666 )"
6,93,"Mar. 22, 2013",Anne Hegerty,"£6,000 + £4,000 + () + £35,000",14/14 (0:42)
6,94,"Apr. 8, 2013",Mark Labbett,"() + £5,000 + () + £35,000",14/14 (0:03)
6,95,"Apr. 9, 2013",Paul Sinha,"() + £9,000 + £500 + ()",19/19 (0:34)
6,96,"Apr. 10, 2013",Anne Hegerty,"() + (nominated) + () + ()
Lazarus Chase",14/14 (0:03)
6,97,"Apr. 11, 2013",Mark Labbett,"£6,000 + £1,000 + £3,000 + £7,000","20/16 ( 4 x £4,250 )"
6,98,"Apr. 12, 2013",Shaun Wallace,"£3,000 + () + £2,000 + £7,000",17/17 (0:06)
6,99,"Apr. 15, 2013",Paul Sinha,"() + (nominated) + () + ()
Lazarus Chase","19/18( 4 x £1,000 )"
6,100,"Apr. 16, 2013",Shaun Wallace,"() + £4,000 + £100 + £6,000",17/17 (0:12)
6,101,"Apr. 17, 2013",Mark Labbett,"() + £6,000 + £3,000 + £600",17/17 (0:15)
6,102,"Apr. 18, 2013",Shaun Wallace,"() + £6,000 + £1,000 + ()","18/15( 2 x £3,500 )"
6,103,"Apr. 19, 2013",Anne Hegerty,"() + £30,000 + () + -£3,000",15/15 (0:54)
6,104,"Apr. 22, 2013",Paul Sinha,"£7,000 + £4,000 + () + £40,000",22/22 (0:00)
6,105,"Apr. 23, 2013",Mark Labbett,"() + £6,000 + () + £2,000","21/20( 2 x £4,000 )"
6,106,"Apr. 24, 2013",Anne Hegerty,"() + () + £1,000 + ()",10/10 (1:03)
6,107,"Apr. 25, 2013",Paul Sinha,"() + £7,000 + -£1,000 + £10,000","22/17 ( 3 x £5,333 )"
6,108,"Apr. 26, 2013",Shaun Wallace,"() + £8,000 + () + ()",15/15 (0:21)
6,109,"Apr. 29, 2013",Shaun Wallace,"£7,000 + £8,000 + () + ()","'19/17' ( 2 x £7,500 )"
6,110,"Apr. 30, 2013",Anne Hegerty,"£3,000 + £7,000 + () + ()",17/17 (0:16)
6,111,"May. 1, 2013",Mark Labbett,"() + () + () + £4,000",11/11 (0:58)
6,112,TBD,Anne Hegerty,"£6,000 + () + £8,000 + ()","15/12( 2 x £7,000 )"
6,113,"May. 3, 2013",Paul Sinha,"£3,000 + £30,000 + £6,000 + -£3,000",22/22 (0:11)
6,114,"May. 6, 2013",Mark Labbett,"() + £6,000 + £2,000 + £5,000",17/17 (0:04)
6,115,"May. 7, 2013",Paul Sinha,"£8,000 + () + () + ()",11/11 (0:50)
